Type,Status,Table 1: Expenses for this Reporting Period,Grant ID
CalMedForce Semi Annual Review,Submitted,"<?xml version=""1.0"" encoding=""UTF-8""?><worksheet>
	<Expenses-Reporting-Period>
		<Row>
			<Expense-Category>Salaries, Benefits and Wages for Faculty</Expense-Category>
			<Date>2021-12-31</Date>
			<Description>Salaries and fringe July-Dec 2021</Description>
			<Amount>24056</Amount>
		</Row>
		<Row>
			<Expense-Category>Unused Funds</Expense-Category>
			<Date>2021-12-31</Date>
			<Description>Projected expenses;  salaries Dr. Yu and Dr. Lisa Barkley Jan-June 2022</Description>
			<Amount>28232.31</Amount>
		</Row>
		<Row>
			<Expense-Category>Memberships, Subscriptions and Professional Activity Costs</Expense-Category>
			<Date>2021-12-31</Date>
			<Description>Professional membership Jan-June 2022 </Description>
			<Amount>4476</Amount>
		</Row>
		<Row>
			<Expense-Category>Contractual Consultant Costs</Expense-Category>
			<Date>2021-12-31</Date>
			<Description>Stipends for Karol Bowens teaching residents Jan-June 2022</Description>
			<Amount>12000</Amount>
		</Row>
		<total>
			<Amount>68764.31</Amount>
		</total>
	</Expenses-Reporting-Period>
	<Available-Funds>
		<Total-Available-Funds>
			<Total-Amount>68764.31</Total-Amount>
		</Total-Available-Funds>
		<Amount-Reported>
			<Total-Amount>68764.31</Total-Amount>
		</Amount-Reported>
		<Remaining-Funds>
			<Total-Amount>0</Total-Amount>
		</Remaining-Funds>
	</Available-Funds>
</worksheet>",2253175-1819
CalMedForce Semi Annual Review,Submitted,"<?xml version=""1.0"" encoding=""UTF-8""?><worksheet>
	<Expenses-Reporting-Period>
		<Row>
			<Expense-Category>Salaries, Benefits and Wages for Residents</Expense-Category>
			<Date>2021-07-01</Date>
			<Description>DaSHAWN HICKMAN</Description>
			<Amount>33387.9</Amount>
		</Row>
		<Row>
			<Expense-Category>Salaries, Benefits and Wages for Residents</Expense-Category>
			<Date>2021-07-01</Date>
			<Description>DaSHAWN HICKMAN</Description>
			<Amount>7196.2</Amount>
		</Row>
		<Row>
			<Expense-Category>Salaries, Benefits and Wages for Residents</Expense-Category>
			<Date>2021-12-31</Date>
			<Description>CHARGED TO AHS</Description>
			<Amount>-15584.1</Amount>
		</Row>
		<total>
			<Amount>25000</Amount>
		</total>
	</Expenses-Reporting-Period>
	<Available-Funds>
		<Total-Available-Funds>
			<Total-Amount>25000</Total-Amount>
		</Total-Available-Funds>
		<Amount-Reported>
			<Total-Amount>25000</Total-Amount>
		</Amount-Reported>
		<Remaining-Funds>
			<Total-Amount>0</Total-Amount>
		</Remaining-Funds>
	</Available-Funds>
</worksheet>",2253156-1920
CalMedForce Semi Annual Review,Draft,"<?xml version=""1.0"" encoding=""UTF-8""?><worksheet>
	<Expenses-Reporting-Period>
		<Row>
			<Expense-Category>Salaries, Benefits and Wages for Residents</Expense-Category>
			<Date>2021-12-31</Date>
			<Description>Resident Salaries</Description>
			<Amount>39750</Amount>
		</Row>
		<Row>
			<Expense-Category>Medical Equipment</Expense-Category>
			<Date>2021-12-31</Date>
			<Description>Mindray Ultrasound Equipment for resident US education (Final Cost: $62,899.06, only claiming $60,000)</Description>
			<Amount>60000</Amount>
		</Row>
		<Row>
			<Expense-Category>Unused Funds</Expense-Category>
			<Date>2021-12-31</Date>
			<Description>Unspent Funds</Description>
			<Amount>45750</Amount>
		</Row>
		<total>
			<Amount>145500</Amount>
		</total>
	</Expenses-Reporting-Period>
	<Available-Funds>
		<Total-Available-Funds>
			<Total-Amount>145500</Total-Amount>
		</Total-Available-Funds>
		<Amount-Reported>
			<Total-Amount>145500</Total-Amount>
		</Amount-Reported>
		<Remaining-Funds>
			<Total-Amount>0</Total-Amount>
		</Remaining-Funds>
	</Available-Funds>
</worksheet>",2253157-1920
CalMedForce Semi Annual Review,Submitted,"<?xml version=""1.0"" encoding=""UTF-8""?><worksheet>
	<Expenses-Reporting-Period>
		<Row>
			<Expense-Category>Salaries, Benefits and Wages for Residents</Expense-Category>
			<Date>2021-10-19</Date>
			<Description>Resident Salaries</Description>
			<Amount>38598.78</Amount>
		</Row>
		<Row>
			<Expense-Category>Licensing Fees</Expense-Category>
			<Date>2022-08-31</Date>
			<Description>Resident License Fees</Description>
			<Amount>3361.22</Amount>
		</Row>
		<Row>
			<Expense-Category>Salaries, Benefits and Wages for Faculty</Expense-Category>
			<Date>2021-12-08</Date>
			<Description>Faculty Administrative Compensation</Description>
			<Amount>8040</Amount>
		</Row>
		<total>
			<Amount>50000</Amount>
		</total>
	</Expenses-Reporting-Period>
	<Available-Funds>
		<Total-Available-Funds>
			<Total-Amount>50000</Total-Amount>
		</Total-Available-Funds>
		<Amount-Reported>
			<Total-Amount>50000</Total-Amount>
		</Amount-Reported>
		<Remaining-Funds>
			<Total-Amount>0</Total-Amount>
		</Remaining-Funds>
	</Available-Funds>
</worksheet>",2253158-1920
CalMedForce Semi Annual Review,Submitted,"<?xml version=""1.0"" encoding=""UTF-8""?><worksheet>
	<Expenses-Reporting-Period>
		<Row>
			<Expense-Category>Salaries, Benefits and Wages for Residents</Expense-Category>
			<Date>2021-07-01</Date>
			<Description>Due to rural designation, no direct medical education (DME) funds are available to pay for 4 resident salaries/stipends. Grant funds provided is allocated to resident salary support.</Description>
			<Amount>150000</Amount>
		</Row>
		<total>
			<Amount>150000</Amount>
		</total>
	</Expenses-Reporting-Period>
	<Available-Funds>
		<Total-Available-Funds>
			<Total-Amount>150000</Total-Amount>
		</Total-Available-Funds>
		<Amount-Reported>
			<Total-Amount>150000</Total-Amount>
		</Amount-Reported>
		<Remaining-Funds>
			<Total-Amount>0</Total-Amount>
		</Remaining-Funds>
	</Available-Funds>
</worksheet>",2253159-1920
CalMedForce Semi Annual Review,Submitted,"<?xml version=""1.0"" encoding=""UTF-8""?><worksheet>
	<Expenses-Reporting-Period>
		<Row>
			<Expense-Category>Licensing Fees</Expense-Category>
			<Date>2021-12-31</Date>
			<Description>Post Graduate Training License</Description>
			<Amount>6383</Amount>
		</Row>
		<Row>
			<Expense-Category>Training and Education Costs</Expense-Category>
			<Date>2021-12-31</Date>
			<Description>Cost of Step 3 Examination</Description>
			<Amount>6240</Amount>
		</Row>
		<Row>
			<Expense-Category>Memberships, Subscriptions and Professional Activity Costs</Expense-Category>
			<Date>2021-12-31</Date>
			<Description>CORD faculty membership </Description>
			<Amount>1375</Amount>
		</Row>
		<Row>
			<Expense-Category>Salaries, Benefits and Wages for Other GME Staff</Expense-Category>
			<Date>2021-12-31</Date>
			<Description>Portion of faculty wages for one faculty member</Description>
			<Amount>11002</Amount>
		</Row>
		<total>
			<Amount>25000</Amount>
		</total>
	</Expenses-Reporting-Period>
	<Available-Funds>
		<Total-Available-Funds>
			<Total-Amount>25000</Total-Amount>
		</Total-Available-Funds>
		<Amount-Reported>
			<Total-Amount>25000</Total-Amount>
		</Amount-Reported>
		<Remaining-Funds>
			<Total-Amount>0</Total-Amount>
		</Remaining-Funds>
	</Available-Funds>
</worksheet>",2253160-1920
CalMedForce Semi Annual Review,Submitted,"<?xml version=""1.0"" encoding=""UTF-8""?><worksheet>
	<Expenses-Reporting-Period>
		<Row>
			<Expense-Category>Salaries, Benefits and Wages for Residents</Expense-Category>
			<Date>2021-12-31</Date>
			<Description>Portion of 2 resident salary &amp; benefits</Description>
			<Amount>50000</Amount>
		</Row>
		<total>
			<Amount>50000</Amount>
		</total>
	</Expenses-Reporting-Period>
	<Available-Funds>
		<Total-Available-Funds>
			<Total-Amount>50000</Total-Amount>
		</Total-Available-Funds>
		<Amount-Reported>
			<Total-Amount>50000</Total-Amount>
		</Amount-Reported>
		<Remaining-Funds>
			<Total-Amount>0</Total-Amount>
		</Remaining-Funds>
	</Available-Funds>
</worksheet>",2253161-1920
CalMedForce Semi Annual Review,Submitted,"<?xml version=""1.0"" encoding=""UTF-8""?><worksheet>
	<Expenses-Reporting-Period>
		<Row>
			<Expense-Category>Salaries, Benefits and Wages for Residents</Expense-Category>
			<Date>2021-12-31</Date>
			<Description>Funds were used for resident salaries, benefits and wages. </Description>
			<Amount>90000</Amount>
		</Row>
		<total>
			<Amount>90000</Amount>
		</total>
	</Expenses-Reporting-Period>
	<Available-Funds>
		<Total-Available-Funds>
			<Total-Amount>90000</Total-Amount>
		</Total-Available-Funds>
		<Amount-Reported>
			<Total-Amount>90000</Total-Amount>
		</Amount-Reported>
		<Remaining-Funds>
			<Total-Amount>0</Total-Amount>
		</Remaining-Funds>
	</Available-Funds>
</worksheet>",2253162-1920
CalMedForce Semi Annual Review,Submitted,"<?xml version=""1.0"" encoding=""UTF-8""?><worksheet>
	<Expenses-Reporting-Period>
		<Row>
			<Expense-Category>Training and Education Costs</Expense-Category>
			<Date>2021-11-03</Date>
			<Description>Trauma Bay Training </Description>
			<Amount>21235.22</Amount>
		</Row>
		<Row>
			<Expense-Category>Training and Education Costs</Expense-Category>
			<Date>2021-11-29</Date>
			<Description>Ventilator Training in Emergency Medicine</Description>
			<Amount>16650</Amount>
		</Row>
		<Row>
			<Expense-Category>Salaries, Benefits and Wages for Residents</Expense-Category>
			<Date>2021-12-31</Date>
			<Description>Resident Salaries</Description>
			<Amount>149614.78</Amount>
		</Row>
		<total>
			<Amount>187500</Amount>
		</total>
	</Expenses-Reporting-Period>
	<Available-Funds>
		<Total-Available-Funds>
			<Total-Amount>187500</Total-Amount>
		</Total-Available-Funds>
		<Amount-Reported>
			<Total-Amount>187500</Total-Amount>
		</Amount-Reported>
		<Remaining-Funds>
			<Total-Amount>0</Total-Amount>
		</Remaining-Funds>
	</Available-Funds>
</worksheet>",2253164-1920
CalMedForce Semi Annual Review,Submitted,"<?xml version=""1.0"" encoding=""UTF-8""?><worksheet>
	<Expenses-Reporting-Period>
		<Row>
			<Expense-Category>Salaries, Benefits and Wages for Residents</Expense-Category>
			<Date>2021-12-31</Date>
			<Description>62.11% of Salaries for five  residents for period 7/1/2021-12/31/2021</Description>
			<Amount>93303</Amount>
		</Row>
		<Row>
			<Expense-Category>Salaries, Benefits and Wages for Residents</Expense-Category>
			<Date>2021-12-31</Date>
			<Description>62.11% of Benefits for five residents residents calculated as 30.2% of total salaries for period 7/1/2021-12/31/2021</Description>
			<Amount>28177</Amount>
		</Row>
		<Row>
			<Expense-Category>Salaries, Benefits and Wages for Faculty</Expense-Category>
			<Date>2021-12-31</Date>
			<Description>62.11% of total Salaries and Wages for Program Director allocated to five residents for period 7/1/2021-12/31/2021)</Description>
			<Amount>3289</Amount>
		</Row>
		<Row>
			<Expense-Category>Contractual Consultant Costs</Expense-Category>
			<Date>2021-12-31</Date>
			<Description>62.11% of total contractual fees paid to faculty allocated to five residents for period 7/1/2021-12/31/2021. </Description>
			<Amount>37041</Amount>
		</Row>
		<Row>
			<Expense-Category>Travel Conferences</Expense-Category>
			<Date>2021-12-31</Date>
			<Description>62.11% of total expenses allocated to five residents  7/1/2021-12/31/2021).</Description>
			<Amount>1824</Amount>
		</Row>
		<Row>
			<Expense-Category>Information Technology (IT) Systems</Expense-Category>
			<Date>2021-12-31</Date>
			<Description>62.11% of total IT expenses  allocated to five residents for period 7/1/2021-12/31/2021. </Description>
			<Amount>9191</Amount>
		</Row>
		<Row>
			<Expense-Category>Licensing Fees</Expense-Category>
			<Date>2021-12-31</Date>
			<Description>62.11% of total expenses allocated to five residents  7/1/2021-12/31/2021.</Description>
			<Amount>446</Amount>
		</Row>
		<Row>
			<Expense-Category>Training and Education Costs</Expense-Category>
			<Date>2021-12-31</Date>
			<Description>62.11% of total expenses for training and education  allocated to five residents for period 7/1/2021-12/31/2021. </Description>
			<Amount>347</Amount>
		</Row>
		<Row>
			<Expense-Category>Meals</Expense-Category>
			<Date>2021-12-31</Date>
			<Description>62.11% of total expenses allocated to five residents  7/1/2021-12/31/2021.</Description>
			<Amount>8397</Amount>
		</Row>
		<Row>
			<Expense-Category>Memberships, Subscriptions and Professional Activity Costs</Expense-Category>
			<Date>2021-12-31</Date>
			<Description>62.11% of total expenses for dues , subscriptions and professional activities  allocated to five residents for period 7/1/2021-12/31/2021. </Description>
			<Amount>2344</Amount>
		</Row>
		<Row>
			<Expense-Category>Salaries, Benefits and Wages for Other GME Staff</Expense-Category>
			<Date>2021-12-31</Date>
			<Description>62.11% of total Salaries and Wages for Program  Coordinator allocated to five residents for period 7/1/2021-12/31/2021.</Description>
			<Amount>1469</Amount>
		</Row>
		<Row>
			<Expense-Category>Salaries, Benefits and Wages for Other GME Staff</Expense-Category>
			<Date>2021-12-31</Date>
			<Description>62.11% of total paid benefits for  Program Coordinator allocated to five residents  in period 7/1/2021-12/31/2021</Description>
			<Amount>444</Amount>
		</Row>
		<Row>
			<Expense-Category>Medical Equipment</Expense-Category>
			<Date>2021-12-31</Date>
			<Description>62.11% of total expenses allocated to five residents  7/1/2021-12/31/2021.</Description>
			<Amount>783</Amount>
		</Row>
		<Row>
			<Expense-Category>Faculty Development</Expense-Category>
			<Date>2021-12-31</Date>
			<Description>62.11% of total expenses for faculty development  allocated to five residents for period 7/1/2021-12/31/2021. </Description>
			<Amount>445</Amount>
		</Row>
		<total>
			<Amount>187500</Amount>
		</total>
	</Expenses-Reporting-Period>
	<Available-Funds>
		<Total-Available-Funds>
			<Total-Amount>187500</Total-Amount>
		</Total-Available-Funds>
		<Amount-Reported>
			<Total-Amount>187500</Total-Amount>
		</Amount-Reported>
		<Remaining-Funds>
			<Total-Amount>0</Total-Amount>
		</Remaining-Funds>
	</Available-Funds>
</worksheet>",2253165-1920
