Discipline,FY,financial_Table,Category,Description,Amount
FM,1819,col 1,"Salaries, Benefits and Wages for Faculty", Salaries and fringe July-Dec 2021 ,24056
FM,1819,col 2,Unused Funds, Projected expenses; salaries Dr. Yu and Dr. Lisa Barkley Jan-June 2022 ,28232.31
FM,1819,col 3,"Memberships, Subscriptions and Professional Activity Costs", Professional membership Jan-June 2022 ,4476
FM,1819,col 4,Contractual Consultant Costs, Stipends for Karol Bowens teaching residents Jan-June 2022 ,12000
EM,1920,col 1,"Salaries, Benefits and Wages for Residents", DaSHAWN HICKMAN ,33387.9
EM,1920,col 2,"Salaries, Benefits and Wages for Residents", DaSHAWN HICKMAN ,7196.2
EM,1920,col 3,"Salaries, Benefits and Wages for Residents", CHARGED TO AHS ,-15584.1
EM,1920,col 1,"Salaries, Benefits and Wages for Residents", Resident Salaries ,39750
EM,1920,col 2,Medical Equipment," Mindray Ultrasound Equipment for resident US education (Final Cost: $62,899.06, only claiming $60,000) ",60000
EM,1920,col 3,Unused Funds, Unspent Funds ,45750
EM,1920,col 1,"Salaries, Benefits and Wages for Residents", Resident Salaries ,38598.78
EM,1920,col 2,Licensing Fees, Resident License Fees ,3361.22
EM,1920,col 3,"Salaries, Benefits and Wages for Faculty", Faculty Administrative Compensation ,8040
EM,1920,col 1,"Salaries, Benefits and Wages for Residents"," Due to rural designation, no direct medical education (DME) funds are available to pay for 4 resident salaries/stipends. Grant funds provided is allocated to resident salary support. ",150000
EM,1920,col 1,Licensing Fees, Post Graduate Training License ,6383
EM,1920,col 2,Training and Education Costs, Cost of Step 3 Examination ,6240
EM,1920,col 3,"Memberships, Subscriptions and Professional Activity Costs", CORD faculty membership ,1375
EM,1920,col 4,"Salaries, Benefits and Wages for Other GME Staff", Portion of faculty wages for one faculty member ,11002
EM,1920,col 1,"Salaries, Benefits and Wages for Residents", Portion of 2 resident salary &amp; benefits ,50000
EM,1920,col 1,"Salaries, Benefits and Wages for Residents"," Funds were used for resident salaries, benefits and wages. ",90000
EM,1920,col 1,Training and Education Costs, Trauma Bay Training ,21235.22
EM,1920,col 2,Training and Education Costs, Ventilator Training in Emergency Medicine ,16650
EM,1920,col 3,"Salaries, Benefits and Wages for Residents", Resident Salaries ,149614.78
EM,1920,col 1,"Salaries, Benefits and Wages for Residents", 62.11% of Salaries for five residents for period 7/1/2021-12/31/2021 ,93303
EM,1920,col 2,"Salaries, Benefits and Wages for Residents", 62.11% of Benefits for five residents residents calculated as 30.2% of total salaries for period 7/1/2021-12/31/2021 ,28177
EM,1920,col 3,"Salaries, Benefits and Wages for Faculty", 62.11% of total Salaries and Wages for Program Director allocated to five residents for period 7/1/2021-12/31/2021) ,3289
EM,1920,col 4,Contractual Consultant Costs, 62.11% of total contractual fees paid to faculty allocated to five residents for period 7/1/2021-12/31/2021. ,37041
EM,1920,col 5,Travel Conferences, 62.11% of total expenses allocated to five residents 7/1/2021-12/31/2021). ,1824
EM,1920,col 6,Information Technology (IT) Systems, 62.11% of total IT expenses allocated to five residents for period 7/1/2021-12/31/2021. ,9191
EM,1920,col 7,Licensing Fees, 62.11% of total expenses allocated to five residents 7/1/2021-12/31/2021. ,446
EM,1920,col 8,Training and Education Costs, 62.11% of total expenses for training and education allocated to five residents for period 7/1/2021-12/31/2021. ,347
EM,1920,col 9,Meals, 62.11% of total expenses allocated to five residents 7/1/2021-12/31/2021. ,8397
EM,1920,col 10,"Memberships, Subscriptions and Professional Activity Costs"," 62.11% of total expenses for dues , subscriptions and professional activities allocated to five residents for period 7/1/2021-12/31/2021. ",2344
EM,1920,col 11,"Salaries, Benefits and Wages for Other GME Staff", 62.11% of total Salaries and Wages for Program Coordinator allocated to five residents for period 7/1/2021-12/31/2021. ,1469
EM,1920,col 12,"Salaries, Benefits and Wages for Other GME Staff", 62.11% of total paid benefits for Program Coordinator allocated to five residents in period 7/1/2021-12/31/2021 ,444
EM,1920,col 13,Medical Equipment, 62.11% of total expenses allocated to five residents 7/1/2021-12/31/2021. ,783
EM,1920,col 14,Faculty Development, 62.11% of total expenses for faculty development allocated to five residents for period 7/1/2021-12/31/2021. ,445
FM,1920,col 1,"Memberships, Subscriptions and Professional Activity Costs"," Membership to: AFMA, ALSO, CFAP, FREIDA, MATCH, NEJM Healer, NEJM Med Board, New Innovations ",12904.49
FM,1920,col 2,"Salaries, Benefits and Wages for Residents", Resident Salaries and Benefits ,47095.51
EM,1819,col 1,"Salaries, Benefits and Wages for Residents"," ALALADE, SIMISOLA M. ",40703.6
EM,1819,col 2,"Salaries, Benefits and Wages for Residents"," ALALADE, SIMISOLA M. ",7716.57
EM,1819,col 3,"Salaries, Benefits and Wages for Residents"," BENESCH, TARA D. ",40426.98
EM,1819,col 4,"Salaries, Benefits and Wages for Residents"," BENESCH, TARA D. ",7697.39
EM,1819,col 5,"Salaries, Benefits and Wages for Residents", MY TUYET TRAN ,40268.29
EM,1819,col 6,"Salaries, Benefits and Wages for Residents", MY TUYET TRAN ,7584.7
EM,1819,col 7,Meals," ALALADE, SIMISOLA M. ",1351.71
EM,1819,col 8,Meals," BENESCH, TARA D. ",1762.36
EM,1819,col 9,Meals, MY TUYET TRAN ,1555.04
EM,1819,col 10,Faculty Development," COELHO, KEN R ",1764
EM,1819,col 11,Faculty Development, CHARGED TO AHS ,-830.64
EM,2021,col 1,"Salaries, Benefits and Wages for Residents", Resident Salaries ,12500
